path,change_class,matches_upstream_blob,matches_fork_blob,resolution
backend/internal/handler/subscription_admission_test.go,fork-only,no,yes,retained fork
backend/internal/handler/subscription_daily_reset_handler.go,fork-only,no,yes,retained fork
backend/internal/handler/welfare_handler.go,fork-only,no,yes,retained fork
backend/internal/handler/welfare_handler_test.go,fork-only,no,yes,retained fork
backend/internal/handler/wire.go,overlap,no,no,adapted custom integration
backend/internal/pkg/antigravity/attribution_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/antigravity/request_transformer.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/antigravity/schema_cleaner.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/antigravity/schema_cleaner_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/anthropic_responses_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/anthropic_to_responses.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/anthropic_to_responses_response.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/anthropic_to_responses_stream_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/chatcompletions_to_responses.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/responses_to_anthropic_instructions_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/responses_to_anthropic_request.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/responses_to_anthropic_tool_pairing_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/apicompat/types.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/cli_version_runtime.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/cli_version_runtime_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/cli_version_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/constants.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/constants_cli_version_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/constants_model_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/claude/effort_catalog.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/openai/constants.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/openai/constants_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/typesafe/client.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/typesafe/client_test.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/xai/models.go,upstream-only,yes,no,exact upstream
backend/internal/pkg/xai/models_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/account_repo.go,upstream-only,yes,no,exact upstream
backend/internal/repository/account_repo_codex_display_snapshot_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/account_repo_opencode_go_usage.go,upstream-only,yes,no,exact upstream
backend/internal/repository/account_repo_opencode_go_usage_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/account_repo_opencode_go_usage_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/account_repo_upstream_billing_probe_update_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/affiliate_repo.go,upstream-only,yes,no,exact upstream
backend/internal/repository/affiliate_repo_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/affiliate_repo_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/api_key_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/billing_cache.go,fork-only,no,yes,retained fork
backend/internal/repository/billing_cache_generation_test.go,fork-only,no,yes,retained fork
backend/internal/repository/channel_reasoning_effort_migration_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/channel_reasoning_pricing_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/channel_repo_account_stats_pricing.go,upstream-only,yes,no,exact upstream
backend/internal/repository/channel_repo_pricing.go,upstream-only,yes,no,exact upstream
backend/internal/repository/channel_repo_pricing_reasoning_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/channel_repo_pricing_time_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/content_moderation_repo.go,upstream-only,yes,no,exact upstream
backend/internal/repository/content_moderation_repo_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/dashboard_aggregation_group_usage_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/dashboard_aggregation_repo.go,upstream-only,yes,no,exact upstream
backend/internal/repository/ent.go,upstream-only,yes,no,exact upstream
backend/internal/repository/group_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/http_upstream.go,upstream-only,yes,no,exact upstream
backend/internal/repository/http_upstream_billing_lifecycle_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/http_upstream_body_lifecycle_test.go,upstream-only,yes,no,exact upstream
